Months,CNN,New York Times,ESPN,Huffington Post,Fox News,Washington Post,BuzzFeed,USA Today,Forbes,CNET
1,,,,,,,,,,1
2,,,,,,,,,,1
3,,,,,,,,,,2
4,,,,,,,,,,2
5,,,,,,,,,,2
6,,,,,,,,,,2
7,,,,,,,,,,2
8,,,,,,,,,,2
9,,,,,,,,,,2
10,,,,,,,,,,2
11,,,,,,,,,,2
12,,,,,,,,,,2
13,,,,,,,,,,2
14,,,,,,,,,,2
15,,,,,,,,,,2
16,,,,,,,,,,2
17,,,,,,,,,,2
18,,,,,,,,,,2
19,,1,,,,,,,,2
20,,3,,,,,,,,2
21,,3,,,,,,,,2
22,,3,,,,,,,,2
23,,3,,,,,,,,2
24,,3,,,,,,,,2
25,,3,,,,,,,,3
26,,4,,,,,,,,3
27,,4,,,,,,,,3
28,,4,,,,,,,,3
29,,4,,,,,,,,3
30,,7,,,,1,,,,3
31,,8,1,,,1,,,,5
32,,9,1,,,1,,,2,8
33,,11,1,,,1,,,2,9
34,1,13,1,,,1,,,2,11
35,1,15,1,,,1,,,2,13
36,1,15,1,,,1,,2,2,14
37,1,15,1,,1,1,,3,2,15
38,1,15,1,,1,1,,3,2,21
39,1,15,1,,1,1,,3,2,27
40,1,15,1,,1,1,,3,2,28
41,1,15,1,,1,1,,3,2,29
42,1,15,2,,1,1,,3,2,30
43,1,16,2,,1,1,,3,2,30
44,1,16,2,,1,1,,3,2,30
45,1,16,2,,1,1,,3,2,31
46,1,16,2,,1,1,,3,2,35
47,1,16,2,,1,1,,3,2,35
48,1,16,2,,1,1,,3,3,35
49,1,16,2,,1,1,,3,4,35
50,1,16,2,,1,1,,3,4,35
51,1,16,2,,1,1,,3,4,35
52,3,16,2,,1,1,,3,4,35
53,4,16,2,,1,1,,3,4,35
54,4,17,2,,1,1,,3,4,35
55,4,17,2,,1,1,,3,5,35
56,4,17,2,,1,1,,3,5,35
57,4,17,2,,1,1,,3,6,36
58,5,17,2,,1,1,,3,6,39
59,6,17,2,,1,1,,3,6,39
60,7,17,2,,1,1,,3,6,39
61,7,17,2,,1,1,,3,6,41
62,7,17,2,,1,1,,3,6,41
63,7,17,2,,1,1,,3,6,43
64,8,17,2,,1,1,,3,6,43
65,8,17,2,,1,1,,3,6,45
66,9,18,2,,1,1,,4,6,48
67,9,19,2,,1,1,,4,7,49
68,9,19,2,,1,1,,4,8,51
69,9,21,2,,1,1,,4,8,52
70,9,21,2,,1,1,,4,9,53
71,9,21,2,,1,1,,4,9,55
72,9,21,2,,1,1,,4,9,55
73,9,21,2,,1,1,,4,9,55
74,9,21,2,,1,1,,4,9,55
75,9,21,2,,1,1,,4,9,56
76,9,22,2,,1,1,,4,9,58
77,9,25,2,,1,1,,4,9,58
78,9,25,2,,1,1,,4,9,59
79,9,25,2,,1,1,,4,9,61
80,9,25,2,,1,1,,4,9,62
81,9,26,2,,1,1,,4,9,62
82,9,26,2,,1,1,,4,9,63
83,9,26,2,,1,1,,4,9,63
84,9,26,2,,1,1,,4,9,63
85,9,26,2,,1,1,,6,9,63
86,9,26,2,,1,1,,6,9,64
87,9,26,2,,1,1,,6,9,66
88,9,26,2,,1,1,,6,9,66
89,9,26,2,,1,1,,6,9,67
90,10,26,2,,1,1,,6,9,68
91,10,26,2,,1,1,,6,9,68
92,10,26,2,,1,1,,6,9,68
93,10,26,2,,1,1,,6,9,68
94,10,26,2,,1,1,,6,9,69
95,10,26,2,,1,1,,6,9,69
96,10,26,2,,1,1,,6,9,70
97,10,26,2,,1,1,,6,9,70
98,11,26,2,,1,1,,6,9,70
99,11,26,2,,1,1,,6,9,70
100,11,26,2,,1,1,,6,9,70
101,11,26,2,,1,1,,6,9,70
102,11,26,2,,1,1,,6,9,70
103,12,26,2,,1,1,,6,9,70
104,12,26,2,,1,1,,6,9,70
105,12,26,2,,1,1,,6,9,70
106,12,26,2,,1,1,,6,9,70
107,12,26,2,,1,1,,6,9,70
108,12,26,2,,1,1,,6,9,70
109,12,26,2,,1,1,,6,9,71
110,12,26,2,,1,1,,6,9,72
111,12,26,2,,1,1,,6,9,72
112,12,26,2,,1,1,,6,9,73
113,12,26,2,,1,2,,6,9,73
114,12,26,2,,1,3,,6,9,73
115,12,26,2,,1,3,,6,9,73
116,12,26,2,,1,3,,6,9,74
117,12,26,2,,1,3,,6,9,74
118,12,26,2,,1,3,,6,9,74
119,12,26,2,,1,3,,6,9,74
120,12,26,2,,1,3,,6,9,74
121,12,26,2,,1,3,,6,9,74
122,12,26,2,,1,3,,6,9,74
123,12,26,2,,1,3,,6,9,74
124,12,26,2,,1,3,,6,9,74
125,12,26,2,,1,3,,6,9,74
126,12,26,2,,1,3,,6,9,74
127,12,26,2,,1,3,,6,9,74
128,12,26,2,,1,3,,6,9,74
129,12,26,2,,1,3,,6,9,74
130,12,26,2,,1,3,,6,9,74
131,12,26,2,,1,3,,6,9,75
132,12,26,2,,1,3,,6,9,75
133,13,26,2,,1,3,,6,9,75
134,14,26,2,,1,3,,6,9,75
135,14,26,2,,1,3,,6,9,75
